url,title,rating_n_reviews,img_cover,price,ADR,sp_url,roomtype_type,bedrooms,bathrooms,property_type,amenities_available,real_estate_type,accommodates
/rooms/51972513?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-14&source_impression_id=p3_1691588811_Egdcdwx7u5USeyuX&previous_page_section_name=1000&federated_search_id=1fb994b5-30b5-484f-b615-a226ab599206,Home in Phoenix,5.0 (15),https://a0.muscache.com/im/pictures/miso/Hosting-51972513/original/9ea4127f-6c5f-41ee-b6a2-91abb82b58d3.jpeg?im_w=720,empty,empty,https://www.airbnb.com/s/Phoenix--AZ--United-States/homes?price_min=500&price_max=505&items_offset=0,Entire home hosted by Trent,3 bedrooms,4 baths,empty,Stays,empty,6 guests · 
/rooms/665806715893155410?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-12&check_out=2023-08-17&source_impression_id=p3_1691588811_5RTvERs3WUWsnf%2BM&previous_page_section_name=1000&federated_search_id=1fb994b5-30b5-484f-b615-a226ab599206,Home in Paradise Valley,4.93 (40),https://a0.muscache.com/im/pictures/prohost-api/Hosting-665806715893155410/original/5fb133f1-6ad9-467d-91b9-91b16b4b084b.jpeg?im_w=720,$500 ,$500 ,https://www.airbnb.com/s/Phoenix--AZ--United-States/homes?price_min=500&price_max=505&items_offset=0,Entire home hosted by VRBHo LLC,6 bedrooms,6 baths,empty,Stays,empty,14 guests · 
/rooms/665960765167990230?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-14&source_impression_id=p3_1691588811_SmnXwu3S2J8%2FHBGa&previous_page_section_name=1000&federated_search_id=1fb994b5-30b5-484f-b615-a226ab599206,Home in Chandler,5.0 (25),https://a0.muscache.com/im/pictures/miso/Hosting-665960765167990230/original/52714137-f9b6-452a-9922-84ef171a27b6.jpeg?im_w=720,$504 ,$504 ,https://www.airbnb.com/s/Phoenix--AZ--United-States/homes?price_min=500&price_max=505&items_offset=0,Entire home hosted by Shelly,5 bedrooms,4.5 baths,empty,Stays,empty,12 guests · 
/rooms/918958723427776139?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-14&source_impression_id=p3_1691588811_%2BH%2FaU0iFoKAEKOIg&previous_page_section_name=1000&federated_search_id=1fb994b5-30b5-484f-b615-a226ab599206,Home in Glendale,New,https://a0.muscache.com/im/pictures/miso/Hosting-918958723427776139/original/299beab1-5bab-4e92-99e7-9e762eb6f67d.jpeg?im_w=720,$500 ,$500 ,https://www.airbnb.com/s/Phoenix--AZ--United-States/homes?price_min=500&price_max=505&items_offset=0,Entire home hosted by Cristian,4 bedrooms,4 baths,empty,Stays,empty,8 guests · 
/rooms/54095398?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-14&source_impression_id=p3_1691588811_%2BJZhfiyXxE85VLSO&previous_page_section_name=1000&federated_search_id=1fb994b5-30b5-484f-b615-a226ab599206,Home in Scottsdale,4.5 (4),https://a0.muscache.com/im/pictures/miso/Hosting-54095398/original/a3d819eb-6ffe-4553-ba5d-79379defe827.jpeg?im_w=720,$500 ,$500 ,https://www.airbnb.com/s/Phoenix--AZ--United-States/homes?price_min=500&price_max=505&items_offset=0,Entire home hosted by The Welcome Home Group,4 bedrooms,2 baths,empty,Stays,empty,8 guests · 
/rooms/813842038415623328?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-03-10&check_out=2024-03-17&source_impression_id=p3_1691588811_TwAh42fKV1qRZjev&previous_page_section_name=1000&federated_search_id=1fb994b5-30b5-484f-b615-a226ab599206,Villa in Scottsdale,empty,https://a0.muscache.com/im/pictures/miso/Hosting-813842038415623328/original/8c14fbb9-027d-45a2-b3cf-9e22ba08cbd3.jpeg?im_w=720,$501 ,$501 ,https://www.airbnb.com/s/Phoenix--AZ--United-States/homes?price_min=500&price_max=505&items_offset=0,Entire villa hosted by David,1 bedroom,1 bath,empty,Stays,empty,4 guests · 
/rooms/934891726759252449?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-14&source_impression_id=p3_1691588811_D2axemaj3KT6Soc1&previous_page_section_name=1000&federated_search_id=1fb994b5-30b5-484f-b615-a226ab599206,Home in Phoenix,New,https://a0.muscache.com/im/pictures/miso/Hosting-934891726759252449/original/464eface-1890-491d-99b4-1f74082ad520.jpeg?im_w=720,$500 ,$500 ,https://www.airbnb.com/s/Phoenix--AZ--United-States/homes?price_min=500&price_max=505&items_offset=0,Entire home hosted by Rosann,4 bedrooms,3 baths,empty,Stays,empty,14 guests · 
/rooms/51684387?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1691588811_1kZddmFiFPiktntA&previous_page_section_name=1000&federated_search_id=1fb994b5-30b5-484f-b615-a226ab599206,Home in Scottsdale,5.0 (41),https://a0.muscache.com/im/pictures/miso/Hosting-51684387/original/5188ca60-7720-4d96-84db-2d2f4deaf607.jpeg?im_w=720,empty,empty,https://www.airbnb.com/s/Phoenix--AZ--United-States/homes?price_min=500&price_max=505&items_offset=0,Entire home hosted by Jon,5 bedrooms,5 baths,empty,Stays,empty,14 guests · 
/rooms/45922726?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1691588811_l7vlGUDnI48OUxm3&previous_page_section_name=1000&federated_search_id=1fb994b5-30b5-484f-b615-a226ab599206,Home in Scottsdale,4.86 (92),https://a0.muscache.com/im/pictures/miso/Hosting-45922726/original/c261cfd8-71e6-48bd-9991-ed73a465b370.jpeg?im_w=720,$500 ,$500 ,https://www.airbnb.com/s/Phoenix--AZ--United-States/homes?price_min=500&price_max=505&items_offset=0,Entire home hosted by VRBHo LLC,7 bedrooms,4 baths,empty,Stays,empty,16+ guests · 
/rooms/616709572164105707?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-10&check_out=2023-08-15&source_impression_id=p3_1691588811_i1g%2BPqaUQl7q6dRp&previous_page_section_name=1000&federated_search_id=1fb994b5-30b5-484f-b615-a226ab599206,Home in Scottsdale,4.86 (22),https://a0.muscache.com/im/pictures/prohost-api/Hosting-616709572164105707/original/780e1aaa-57d6-43d9-9da1-90e201af4474.jpeg?im_w=720,empty,empty,https://www.airbnb.com/s/Phoenix--AZ--United-States/homes?price_min=500&price_max=505&items_offset=0,Entire home hosted by Margie,4 bedrooms,3 baths,empty,Stays,empty,10 guests · 
